ECM No.,LP,CD,Year,Artist,Title,Comments,Number,range
ECM 1260,YES,NO,1983,Chick Corea / Gary Burton,Lyric Suite For Sextet,P,1260,12
ECM 1267,NO,YES,1984,Chick Corea,Children's Songs,E,1267,12
ECM 1269,YES,YES,1984,Dave Holland Quintet,Jumpin' In,P,1269,12
ECM 1271,YES,YES,1984,Pat Metheny,Rejoicing,P,1271,12
ECM 1275?NS,NO,YES,1984,Gidon Kremer / Keith Jarrett,Tabula Rasa,,1275,12
ECM 1277?NS,YES,YES,1984,"San Francisco Symphony Orchestra and Chorus, Edo de Waart",Harmonium,P,1277,12
ECM 1278,YES,YES,1984,Pat Metheny Group,First Circle,P,1278,12
ECM 1289,NO,YES,1984,Keith Jarrett / Gary Peacock / Jack DeJohnette,"Standards, Vol. 2",E,1289,12
ECM 1291,NO,YES,1985,Oregon,Crossing,,1291,12
ECM 1292,YES,NO,1985,David Holland Quintet,Seeds Of Time,P,1292,12
ECM 1303,NO,YES,1985,Terje Rypdal,Chaser,,1303,13
ECM 1306,NO,YES,1986,Ralph Towner / Gary Burton,Slide Show,,1306,13
ECM 1317,NO,YES,1986,Keith Jarrett / Gary Peacock / Jack DeJohnette,Standards Live,,1317,13
ECM 1350,NO,YES,1988,Bill Frisell Band,Lookout For Hope,,1350,13
ECM 1352,NO,YES,1987,Gary Peacock,Guamba,,1352,13
ECM 1353,NO,YES,1987,David Holland Quintet,The Razor's Edge,,1353,13
ECM 1354,YES,YES,1987,Oregon,Ecotopia,P,1354,13
ECM 1362/63?NS,NO,YES,1988,Keith Jarrett,"Das Wohltemperierte Klavier, Buch I",,1362,13
ECM 1370?NS,NO,YES,1988,The Hilliard Ensemble,Passio,,1370,13
ECM 1379,NO,YES,1988,Keith Jarrett,Dark Intervals,,1379,13
ECM 1381,NO,YES,1989,Jan Garbarek,Legend Of The Seven Dreams,,1381,13
ECM 1383,NO,YES,1989,Terje Rypdal,The Singles Collection,,1383,13
ECM 1385?NS,NO,YES,1989,The Hilliard Ensemble,Perotin,,1385,13
ECM 1387,NO,YES,1989,Egberto Gismonti,Dança dos Escravos,,1387,13
ECM 1388,NO,YES,1989,Ralph Towner,City Of Eyes,,1388,13
ECM 1390,NO,YES,1989,John Abercrombie / Marc Johnson / Peter Erskine,,,1390,13
ECM 1401,NO,YES,1990,Keith Jarrett,Paris Concert,,1401,14
ECM 1410,NO,YES,1990,David Holland Quartet,Extensions,,1410,14
ECM 1415/16,,YES,1990,Kenny Wheeler,Music For Large & Small Ensembles,,1415,14
ECM 1417,,YES,1990,Kenny Wheeler,The Widow In The Window,,1417,14
ECM 1420/21,NO,YES,1990,Keith Jarrett Trio,Tribute,,1420,14
ECM 1424?NS,NO,YES,1991,Gavin Bryars,After The Requiem,,1424,14
ECM 1428,NO,YES,1991,Egberto Gismonti Group,Infância,,1428,14
ECM 1430?NS,NO,YES,1991,Hilliard Ensemble,Miserere,,1430,14
ECM 1433/34?NS,NO,YES,1991,Keith Jarrett,"Das Wohltemperierte Klavier, Buch II",,1433,14
ECM 1440,NO,YES,1991,Keith Jarrett / Gary Peacock / Jack DeJohnette,The Cure,E,1440,14
ECM 1462,NO,YES,1992,Ralph Towner,Open Letter,E,1462,14
ECM 1467,NO,YES,1993,Keith Jarrett / Gary Peacock / Jack DeJohnette,Bye Bye Blackbird,,1467,14
ECM 1476?NS,NO,YES,1993,The Hilliard Ensemble,"Missa Flos Regalis, Motets",,1476,14
ECM 1481,NO,YES,1992,Keith Jarrett,Vienna Concert,,1481,14
ECM 1490,,YES,1994,Gary Peacock / Ralph Towner,Oracle,,1490,14
ECM 1493,NO,YES,1993,Arild Andersen / Ralph Towner / Nana Vasconcelos,If You Look Far Enough,,1493,14
ECM 1500,NO,YES,1993,Jan Garbarek Group,Twelve Moons,,1500,15
ECM 1501?NS,NO,YES,1994,Kim Kashkashian / Keith Jarrett,3 Sonatas for Viola da Gamba and Harpsichord,,1501,15
ECM 1505?NS,NO,YES,1993,Arvo Pärt,Te Deum,,1505,15
ECM 1513/14?NS,NO,YES,1993,Keith Jarrett,The French Suites,,1513,15
ECM 1515,NO,YES,1994,Jan Garbarek / Anouar Brahem / Shaukat Hussain,Madar,,1515,15
ECM 1525?NS,NO,YES,1994,Jan Garbarek / The Hilliard Ensemble,Officium,,1525,15
ECM 1530?NS,NO,YES,1995,Keith Jarrett,Suites For Keyboard,,1530,15
ECM 1531,NO,YES,1994,Keith Jarrett / Gary Peacock / Paul Motian,At The Deer Head Inn,,1531,15
ECM 1533?NS,NO,YES,1994,David James / Annemarie Dreyer / Ulrike Lachner / Rebecca Firth,Incipit Vita Nova,,1533,15
ECM 1542,NO,YES,1995,Keith Jarrett / Gary Peacock / Jack DeJohnette,Standards In Norway,,1542,15
ECM 1560,NO,YES,1997,Nils Petter Molvær,Khmer,E,1560,15
ECM 1563,NO,YES,1996,Ralph Towner,Lost And Found,,1563,15
ECM 1575,NO,YES,1995,Keith Jarrett / Gary Peacock / Jack DeJohnette,At The Blue Note - The Complete Recordings,,1575,15
ECM 1582,NO,YES,1996,Egberto Gismonti Trio,ZigZag,,1582,15
ECM 1585,NO,YES,1996,Jan Garbarek,Visible World,E,1585,15
ECM 1591?NS,NO,YES,1999,Arvo Pärt,Alina,,1591,15
ECM 1592?NS,NO,YES,1996,Arvo Pärt,Litany,,1592,15
ECM 1602,NO,YES,1998,Ralph TownerGary Peacock,A Closer View,,1602,16
ECM 1603,NO,YES,1997,Tomasz Stanko,Leosia,,1603,16
ECM 1604,NO,YES,1998,Bobo Stenson Trio,War Orphans,,1604,16
ECM 1605?NS,NO,YES,1999,Hansheinz SchneebergerDaniel Cholette,Sonatas for Violin and Piano,,1605,16
ECM 1607,NO,YES,1997,Kenny Wheeler / L.Konitz / D.Holland / B.Frisell,Angel Song,,1607,16
ECM 1608,NO,YES,1997,Terje Rypdal,Skywards,,1608,16
ECM 1611,,YES,1997,Ralph Towner,ANA,,1611,16
ECM 1623,NO,YES,1997,John Abercrombie / Dan Wall / Adam Nussbaum,Tactics,,1623,16
ECM 1626/27,NO,YES,1997,Marilyn Crispell / Gary Peacock / Paul Motian,"Nothing ever was, anyway. Music of Annette Peacock",,1626,16
ECM 1636,NO,YES,1997,Tomasz Stanko Septet,LITANIA Music of Krzyszto Komeda,,1636,16
ECM 1640,NO,YES,1997,Keith Jarrett,La Scala,,1640,16
ECM 1652?NS,NO,YES,1998,Keller Quartett,Die Kunst der Fuge,,1652,16
ECM 1663,NO,YES,1998,Dave Holland Quintet,Points of View,,1663,16
ECM 1666,NO,YES,1998,Jarrett / Peacock / DeJohnette,Tokyo '96,,1666,16
ECM 1670,NO,YES,1999,Paul Bley / Gary Peacock / Paul Motian,"Not Two, Not One",,1670,16
ECM 1674,NO,YES,1999,Charles Lloyd,Voice in the Night,,1674,16
ECM 1675,NO,YES,1999,Keith Jarrett,"The Melody At Night, With You",,1675,16
ECM 1680,NO,YES,1999,Tomasz Stanko,From the Green Hill,,1680,16
ECM 1691,,YES,1999,Kenny Wheeler,A Long Time Ago,,1691,16
ECM 1698,NO,YES,1999,Dave Holland,Prime Directive,,1698,16
ECM 1722,NO,YES,2000,Nils Petter Molvær,Solid Ether,,1722,17
ECM 1724/25,NO,YES,1999,Keith Jarrett / Gary Peacock / Jack DeJohnette,Whisper Not,,1724,17
