Name,Artist,Composer,Album,Grouping,Work,Movement Number,Movement Count,Movement Name,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,Date Modified,Date Added,Bit Rate,Sample Rate,Volume Adjustment,Kind,Equalizer,Comments,Plays,Last Played,Skips,Last Skipped,My Rating,Location
Sweet Henry,Gary Burton & Steve Swallow,Jack Gregg,Hotel Hello,,,,,,Jazz,8796530,242,1,1,7,9,1975,2017-05-29 19:43,2015-10-18 20:48,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Gary Burton & Steve Swallow\Hotel Hello\07 Sweet Henry.m4a
Impromptu,Gary Burton & Steve Swallow,,Hotel Hello,,,,,,Jazz,5454188,149,1,1,8,9,1975,2017-05-29 19:44,2015-10-18 20:48,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Gary Burton & Steve Swallow\Hotel Hello\08 Impromptu.m4a
Sweeping Up,Gary Burton & Steve Swallow,,Hotel Hello,,,,,,Jazz,11238057,326,1,1,9,9,1975,2017-05-29 19:43,2015-10-18 20:48,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Gary Burton & Steve Swallow\Hotel Hello\09 Sweeping Up.m4a
Unquity Road,Pat Metheny,Pat Metheny,Works II,,,,,,Jazz,8014616,213,1,1,1,7,1988,2017-02-12 8:22,2017-05-29 13:03,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Pat Metheny Group\Works II\01 Unquity Road.m4a
Unity Village,Pat Metheny,Pat Metheny,Works II,,,,,,Jazz,7719265,218,1,1,2,7,1988,2017-02-12 8:21,2017-05-29 13:03,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Pat Metheny Group\Works II\02 Unity Village.m4a
Open,Pat Metheny,"Pat Metheny, Michael Brecker, Charlie Haden, Dewey Redman & Jack DeJohnette",Works II,,,,,,Jazz,31011573,862,1,1,3,7,1988,2017-02-12 8:22,2017-05-29 13:03,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Pat Metheny Group\Works II\03 Open.m4a
Story from a Stranger,Pat Metheny,Pat Metheny,Works II,,,,,,Jazz,13369313,348,1,1,4,7,1988,2017-02-12 8:22,2017-05-29 13:03,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Pat Metheny Group\Works II\04 Story from a Stranger.m4a
Oasis,Pat Metheny,Pat Metheny,Works II,,,,,,Jazz,8449682,242,1,1,5,7,1988,2017-02-12 8:22,2017-05-29 13:03,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Pat Metheny Group\Works II\05 Oasis.m4a
Sirabhorn,Pat Metheny,Pat Metheny,Works II,,,,,,Jazz,12579810,325,1,1,6,7,1988,2017-02-12 8:23,2017-05-29 13:03,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Pat Metheny Group\Works II\06 Sirabhorn.m4a
Farmer's Trust,Pat Metheny Group,Pat Metheny,Works II,,,,,,Jazz,13245246,385,1,1,7,7,1988,2017-02-12 8:23,2017-05-29 13:03,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Pat Metheny Group\Works II\07 Farmer's Trust.m4a
